time,q_cmd,q_meas,elevator
2.60001,1,0.0733728,0.146555
2.60201,1,0.0734204,0.146645
2.60401,1,0.073468,0.146735
2.60601,1,0.0735155,0.146826
2.60801,1,0.0735631,0.146916
2.61001,1,0.0736107,0.147006
2.61201,1,0.0736582,0.147096
2.61401,1,0.0737058,0.147187
2.61601,1,0.0737534,0.147277
2.61801,1,0.0738009,0.147367
2.62001,1,0.0738485,0.147457
2.62201,1,0.073896,0.147548
2.62401,1,0.0739436,0.147638
2.62601,1,0.0739911,0.147728
2.62801,1,0.0740387,0.147818
2.63001,1,0.0740862,0.147909
2.63201,1,0.0741338,0.147999
2.63401,1,0.0741813,0.148089
2.63601,1,0.0742289,0.148179
2.63801,1,0.0742764,0.148269
2.64001,1,0.0743239,0.14836
2.64201,1,0.0743715,0.14845
2.64401,1,0.074419,0.14854
2.64601,1,0.0744665,0.14863
2.64801,1,0.074514,0.14872
2.65001,1,0.0745616,0.14881
2.65201,1,0.0746091,0.148901
2.65401,1,0.0746566,0.148991
2.65601,1,0.0747041,0.149081
2.65801,1,0.0747516,0.149171
2.66001,1,0.0747991,0.149261
2.66201,1,0.0748466,0.149351
2.66401,1,0.0748941,0.149441
2.66601,1,0.0749417,0.149532
2.66801,1,0.0749891,0.149622
2.67001,1,0.0750366,0.149712
2.67201,1,0.0750841,0.149802
2.67401,1,0.0751316,0.149892
2.67601,1,0.0751791,0.149982
2.67801,1,0.0752266,0.150072
2.68001,1,0.0752741,0.150162
2.68201,1,0.0753216,0.150252
2.68401,1,0.0753691,0.150343
2.68601,1,0.0754165,0.150433
2.68801,1,0.075464,0.150523
2.69001,1,0.0755115,0.150613
2.69201,1,0.075559,0.150703
2.69401,1,0.0756064,0.150793
2.69601,1,0.0756539,0.150883
2.69801,1,0.0757013,0.150973
2.70001,1,0.0757488,0.151063
2.70201,1,0.0757963,0.151153
2.70401,1,0.0758437,0.151243
2.70601,1,0.0758912,0.151333
2.70801,1,0.0759386,0.151423
2.71001,1,0.0759861,0.151513
2.71201,1,0.0760335,0.151603
2.71401,1,0.076081,0.151693
2.71601,1,0.0761284,0.151783
2.71801,1,0.0761758,0.151873
2.72002,1,0.0762233,0.151963
2.72202,1,0.0762707,0.152053
2.72402,1,0.0763181,0.152143
2.72602,1,0.0763656,0.152233
2.72802,1,0.076413,0.152323
2.73002,1,0.0764604,0.152413
2.73202,1,0.0765078,0.152503
2.73402,1,0.0765553,0.152593
2.73602,1,0.0766027,0.152683
2.73802,1,0.0766501,0.152773
2.74002,1,0.0766975,0.152863
2.74202,1,0.0767449,0.152953
2.74402,1,0.0767923,0.153043
2.74602,1,0.0768397,0.153133
2.74802,1,0.0768871,0.153223
2.75002,1,0.0769345,0.153313
2.75202,1,0.0769819,0.153403
2.75402,1,0.0770293,0.153493
2.75602,1,0.0770767,0.153583
2.75802,1,0.0771241,0.153673
2.76002,1,0.0771715,0.153763
2.76202,1,0.0772189,0.153852
2.76402,1,0.0772662,0.153942
2.76602,1,0.0773136,0.154032
2.76802,1,0.077361,0.154122
2.77002,1,0.0774084,0.154212
2.77202,1,0.0774558,0.154302
2.77402,1,0.0775031,0.154392
2.77602,1,0.0775505,0.154482
2.77802,1,0.0775979,0.154572
2.78002,1,0.0776452,0.154661
2.78202,1,0.0776926,0.154751
2.78402,1,0.0777399,0.154841
2.78602,1,0.0777873,0.154931
2.78802,1,0.0778347,0.155021
2.79002,1,0.077882,0.155111
2.79202,1,0.0779293,0.1552
2.79402,1,0.0779767,0.15529
2.79602,1,0.078024,0.15538
2.79802,1,0.0780714,0.15547
2.80002,1,0.0781187,0.15556
2.80202,1,0.0781661,0.15565
2.80402,1,0.0782134,0.155739
2.80602,1,0.0782607,0.155829
2.80802,1,0.078308,0.155919
2.81002,1,0.0783554,0.156009
2.81202,1,0.0784027,0.156099
2.81402,1,0.07845,0.156188
2.81602,1,0.0784973,0.156278
2.81802,1,0.0785447,0.156368
2.82002,1,0.078592,0.156458
2.82202,1,0.0786393,0.156548
2.82402,1,0.0786866,0.156637
2.82602,1,0.0787339,0.156727
2.82802,1,0.0787812,0.156817
2.83002,1,0.0788285,0.156907
2.83202,1,0.0788758,0.156996
2.83402,1,0.0789231,0.157086
2.83602,1,0.0789704,0.157176
2.83802,1,0.0790177,0.157266
2.84002,1,0.079065,0.157355
2.84202,1,0.0791123,0.157445
2.84402,1,0.0791595,0.157535
2.84602,1,0.0792068,0.157624
2.84802,1,0.0792541,0.157714
2.85002,1,0.0793014,0.157804
2.85202,1,0.0793487,0.157894
2.85402,1,0.0793959,0.157983
2.85602,1,0.0794432,0.158073
2.85802,1,0.0794905,0.158163
2.86002,1,0.0795377,0.158252
2.86202,1,0.079585,0.158342
2.86402,1,0.0796323,0.158432
2.86602,1,0.0796795,0.158521
2.86802,1,0.0797268,0.158611
2.87002,1,0.079774,0.158701
2.87202,1,0.0798213,0.15879
2.87402,1,0.0798685,0.15888
2.87602,1,0.0799158,0.15897
2.87802,1,0.079963,0.159059
2.88002,1,0.0800103,0.159149
2.88202,1,0.0800575,0.159239
2.88402,1,0.0801047,0.159328
2.88602,1,0.080152,0.159418
2.88802,1,0.0801992,0.159507
2.89002,1,0.0802464,0.159597
2.89202,1,0.0802937,0.159687
2.89402,1,0.0803409,0.159776
2.89602,1,0.0803881,0.159866
2.89802,1,0.0804353,0.159955
2.90002,1,0.0804825,0.160045
2.90202,1,0.0805298,0.160135
2.90402,1,0.080577,0.160224
2.90602,1,0.0806242,0.160314
2.90802,1,0.0806714,0.160403
2.91002,1,0.0807186,0.160493
2.91202,1,0.0807658,0.160582
2.91402,1,0.080813,0.160672
2.91602,1,0.0808602,0.160762
2.91802,1,0.0809074,0.160851
2.92002,1,0.0809546,0.160941
2.92202,1,0.0810018,0.16103
2.92402,1,0.081049,0.16112
2.92602,1,0.0810961,0.161209
2.92802,1,0.0811433,0.161299
2.93002,1,0.0811905,0.161388
2.93202,1,0.0812377,0.161478
2.93403,1,0.0812849,0.161567
2.93603,1,0.081332,0.161657
2.93803,1,0.0813792,0.161746
2.94003,1,0.0814264,0.161836
2.94203,1,0.0814735,0.161925
2.94403,1,0.0815207,0.162015
2.94603,1,0.0815679,0.162104
2.94803,1,0.081615,0.162194
2.95003,1,0.0816622,0.162283
2.95203,1,0.0817093,0.162373
2.95403,1,0.0817565,0.162462
2.95603,1,0.0818036,0.162552
2.95803,1,0.0818508,0.162641
2.96003,1,0.0818979,0.162731
2.96203,1,0.0819451,0.16282
2.96403,1,0.0819922,0.162909
2.96603,1,0.0820393,0.162999
2.96803,1,0.0820865,0.163088
2.97003,1,0.0821336,0.163178
2.97203,1,0.0821807,0.163267
2.97403,1,0.0822279,0.163357
2.97603,1,0.082275,0.163446
2.97803,1,0.0823221,0.163535
2.98003,1,0.0823692,0.163625
2.98203,1,0.0824164,0.163714
2.98403,1,0.0824635,0.163804
2.98603,1,0.0825106,0.163893
2.98803,1,0.0825577,0.163982
2.99003,1,0.0826048,0.164072
2.99203,1,0.0826519,0.164161
2.99403,1,0.082699,0.164251
2.99603,1,0.0827461,0.16434
2.99803,1,0.0827932,0.164429
3.00003,1,0.0828403,0.164519
3.00203,1,0.0828874,0.164608
3.00403,1,0.0829345,0.164697
3.00603,1,0.0829816,0.164787
3.00803,1,0.0830287,0.164876
3.01003,1,0.0830757,0.164965
3.01203,1,0.0831228,0.165055
3.01403,1,0.0831699,0.165144
3.01603,1,0.083217,0.165233
3.01803,1,0.0832641,0.165323
3.02003,1,0.0833111,0.165412
3.02203,1,0.0833582,0.165501
3.02403,1,0.0834053,0.165591
3.02603,1,0.0834523,0.16568
3.02803,1,0.0834994,0.165769
3.03003,1,0.0835465,0.165859
3.03203,1,0.0835935,0.165948
3.03403,1,0.0836406,0.166037
3.03603,1,0.0836876,0.166126
3.03803,1,0.0837347,0.166216
3.04003,1,0.0837817,0.166305
3.04203,1,0.0838288,0.166394
3.04403,1,0.0838758,0.166483
3.04603,1,0.0839228,0.166573
3.04803,1,0.0839699,0.166662
3.05003,1,0.0840169,0.166751
3.05203,1,0.084064,0.16684
3.05403,1,0.084111,0.16693
3.05603,1,0.084158,0.167019
3.05803,1,0.084205,0.167108
3.06003,1,0.0842521,0.167197
3.06203,1,0.0842991,0.167287
3.06403,1,0.0843461,0.167376
3.06603,1,0.0843931,0.167465
3.06803,1,0.0844401,0.167554
3.07003,1,0.0844871,0.167643
3.07203,1,0.0845341,0.167733
3.07403,1,0.0845812,0.167822
3.07603,1,0.0846282,0.167911
3.07803,1,0.0846752,0.168
3.08003,1,0.0847222,0.168089
3.08203,1,0.0847692,0.168179
3.08403,1,0.0848162,0.168268
3.08603,1,0.0848631,0.168357
3.08803,1,0.0849101,0.168446
3.09003,1,0.0849571,0.168535
3.09203,1,0.0850041,0.168624
3.09403,1,0.0850511,0.168713
3.09603,1,0.0850981,0.168803
3.09803,1,0.085145,0.168892
3.10003,1,0.085192,0.168981
3.10203,1,0.085239,0.16907
3.10403,1,0.085286,0.169159
3.10603,1,0.0853329,0.169248
3.10803,1,0.0853799,0.169337
3.11003,1,0.0854269,0.169427
3.11203,1,0.0854738,0.169516
3.11403,1,0.0855208,0.169605
3.11603,1,0.0855677,0.169694
3.11803,1,0.0856147,0.169783
3.12003,1,0.0856616,0.169872
3.12203,1,0.0857086,0.169961
3.12403,1,0.0857555,0.17005
3.12603,1,0.0858025,0.170139
3.12803,1,0.0858494,0.170228
3.13003,1,0.0858964,0.170317
3.13203,1,0.0859433,0.170406
3.13403,1,0.0859902,0.170495
3.13603,1,0.0860372,0.170584
3.13803,1,0.0860841,0.170674
3.14003,1,0.086131,0.170763
3.14203,1,0.0861779,0.170852
3.14403,1,0.0862249,0.170941
3.14603,1,0.0862718,0.17103
3.14804,1,0.0863187,0.171119
3.15004,1,0.0863656,0.171208
3.15204,1,0.0864125,0.171297
3.15404,1,0.0864594,0.171386
3.15604,1,0.0865063,0.171475
3.15804,1,0.0865533,0.171564
3.16004,1,0.0866002,0.171653
3.16204,1,0.0866471,0.171742
3.16404,1,0.086694,0.171831
3.16604,1,0.0867409,0.17192
3.16804,1,0.0867877,0.172009
3.17004,1,0.0868346,0.172098
3.17204,1,0.0868815,0.172187
3.17404,1,0.0869284,0.172276
3.17604,1,0.0869753,0.172365
3.17804,1,0.0870222,0.172453
3.18004,1,0.0870691,0.172542
3.18204,1,0.0871159,0.172631
3.18404,1,0.0871628,0.17272
3.18604,1,0.0872097,0.172809
3.18804,1,0.0872566,0.172898
3.19004,1,0.0873034,0.172987
3.19204,1,0.0873503,0.173076
3.19404,1,0.0873971,0.173165
3.19604,1,0.087444,0.173254
3.19804,1,0.0874909,0.173343
3.20004,1,0.0875377,0.173432
3.20204,1,0.0875846,0.173521
3.20404,1,0.0876314,0.173609
3.20604,1,0.0876783,0.173698
3.20804,1,0.0877251,0.173787
3.21004,1,0.0877719,0.173876
3.21204,1,0.0878188,0.173965
3.21404,1,0.0878656,0.174054
3.21604,1,0.0879125,0.174143
3.21804,1,0.0879593,0.174232
3.22004,1,0.0880061,0.17432
3.22204,1,0.088053,0.174409
3.22404,1,0.0880998,0.174498
3.22604,1,0.0881466,0.174587
3.22804,1,0.0881934,0.174676
3.23004,1,0.0882402,0.174765
3.23204,1,0.0882871,0.174854
3.23404,1,0.0883339,0.174942
3.23604,1,0.0883807,0.175031
3.23804,1,0.0884275,0.17512
3.24004,1,0.0884743,0.175209
3.24204,1,0.0885211,0.175298
3.24404,1,0.0885679,0.175386
3.24604,1,0.0886147,0.175475
3.24804,1,0.0886615,0.175564
3.25004,1,0.0887083,0.175653
3.25204,1,0.0887551,0.175742
3.25404,1,0.0888019,0.17583
3.25604,1,0.0888487,0.175919
3.25804,1,0.0888955,0.176008
3.26004,1,0.0889422,0.176097
3.26204,1,0.088989,0.176185
3.26404,1,0.0890358,0.176274
3.26604,1,0.0890826,0.176363
3.26804,1,0.0891293,0.176452
3.27004,1,0.0891761,0.17654
3.27204,1,0.0892229,0.176629
3.27404,1,0.0892696,0.176718
3.27604,1,0.0893164,0.176807
3.27804,1,0.0893632,0.176895
3.28004,1,0.0894099,0.176984
3.28204,1,0.0894567,0.177073
3.28404,1,0.0895034,0.177162
3.28604,1,0.0895502,0.17725
3.28804,1,0.0895969,0.177339
3.29004,1,0.0896437,0.177428
3.29204,1,0.0896904,0.177516
3.29404,1,0.0897372,0.177605
3.29604,1,0.0897839,0.177694
3.29804,1,0.0898307,0.177782
3.30004,1,0.0898774,0.177871
3.30204,1,0.0899241,0.17796
3.30404,1,0.0899708,0.178048
3.30604,1,0.0900176,0.178137
3.30804,1,0.0900643,0.178226
3.31004,1,0.090111,0.178314
3.31204,1,0.0901577,0.178403
3.31404,1,0.0902045,0.178492
3.31604,1,0.0902512,0.17858
3.31804,1,0.0902979,0.178669
3.32004,1,0.0903446,0.178758
3.32204,1,0.0903913,0.178846
3.32404,1,0.090438,0.178935
3.32604,1,0.0904847,0.179023
3.32804,1,0.0905314,0.179112
3.33004,1,0.0905781,0.179201
3.33204,1,0.0906248,0.179289
3.33404,1,0.0906715,0.179378
3.33604,1,0.0907182,0.179466
3.33804,1,0.0907649,0.179555
3.34004,1,0.0908116,0.179644
3.34204,1,0.0908583,0.179732
3.34404,1,0.0909049,0.179821
3.34604,1,0.0909516,0.179909
3.34804,1,0.0909983,0.179998
3.35004,1,0.091045,0.180086
3.35204,1,0.0910916,0.180175
3.35404,1,0.0911383,0.180264
3.35604,1,0.091185,0.180352
3.35804,1,0.0912316,0.180441
3.36004,1,0.0912783,0.180529
3.36205,1,0.091325,0.180618
3.36405,1,0.0913716,0.180706
3.36605,1,0.0914183,0.180795
3.36805,1,0.0914649,0.180883
3.37005,1,0.0915116,0.180972
3.37205,1,0.0915582,0.18106
3.37405,1,0.0916049,0.181149
3.37605,1,0.0916515,0.181237
3.37805,1,0.0916982,0.181326
3.38005,1,0.0917448,0.181414
3.38205,1,0.0917914,0.181503
3.38405,1,0.0918381,0.181591
3.38605,1,0.0918847,0.18168
3.38805,1,0.0919313,0.181768
3.39005,1,0.091978,0.181857
3.39205,1,0.0920246,0.181945
3.39405,1,0.0920712,0.182034
3.39605,1,0.0921178,0.182122
3.39805,1,0.0921644,0.182211
3.40005,1,0.0922111,0.182299
3.40205,1,0.0922577,0.182387
3.40405,1,0.0923043,0.182476
3.40605,1,0.0923509,0.182564
3.40805,1,0.0923975,0.182653
3.41005,1,0.0924441,0.182741
3.41205,1,0.0924907,0.18283
3.41405,1,0.0925373,0.182918
3.41605,1,0.0925839,0.183006
3.41805,1,0.0926305,0.183095
3.42005,1,0.0926771,0.183183
3.42205,1,0.0927237,0.183272
3.42405,1,0.0927703,0.18336
3.42605,1,0.0928168,0.183448
3.42805,1,0.0928634,0.183537
3.43005,1,0.09291,0.183625
3.43205,1,0.0929566,0.183714
3.43405,1,0.0930031,0.183802
3.43605,1,0.0930497,0.18389
3.43805,1,0.0930963,0.183979
3.44005,1,0.0931429,0.184067
3.44205,1,0.0931894,0.184155
3.44405,1,0.093236,0.184244
3.44605,1,0.0932825,0.184332
3.44805,1,0.0933291,0.18442
3.45005,1,0.0933757,0.184509
3.45205,1,0.0934222,0.184597
3.45405,1,0.0934688,0.184685
3.45605,1,0.0935153,0.184774
3.45805,1,0.0935619,0.184862
3.46005,1,0.0936084,0.18495
3.46205,1,0.0936549,0.185039
3.46405,1,0.0937015,0.185127
3.46605,1,0.093748,0.185215
3.46805,1,0.0937945,0.185304
3.47005,1,0.0938411,0.185392
3.47205,1,0.0938876,0.18548
3.47405,1,0.0939341,0.185568
3.47605,1,0.0939807,0.185657
3.47805,1,0.0940272,0.185745
3.48005,1,0.0940737,0.185833
3.48205,1,0.0941202,0.185921
3.48405,1,0.0941667,0.18601
3.48605,1,0.0942132,0.186098
3.48805,1,0.0942597,0.186186
3.49005,1,0.0943063,0.186274
3.49205,1,0.0943528,0.186363
3.49405,1,0.0943993,0.186451
3.49605,1,0.0944458,0.186539
3.49805,1,0.0944923,0.186627
3.50005,1,0.0945387,0.186716
3.50205,1,0.0945852,0.186804
3.50405,1,0.0946317,0.186892
3.50605,1,0.0946782,0.18698
3.50805,1,0.0947247,0.187068
3.51005,1,0.0947712,0.187157
3.51205,1,0.0948177,0.187245
3.51405,1,0.0948642,0.187333
3.51605,1,0.0949106,0.187421
3.51805,1,0.0949571,0.187509
3.52005,1,0.0950036,0.187598
3.52205,1,0.09505,0.187686
3.52405,1,0.0950965,0.187774
3.52605,1,0.095143,0.187862
3.52805,1,0.0951894,0.18795
3.53005,1,0.0952359,0.188038
3.53205,1,0.0952824,0.188127
3.53405,1,0.0953288,0.188215
3.53605,1,0.0953753,0.188303
3.53805,1,0.0954217,0.188391
3.54005,1,0.0954682,0.188479
3.54205,1,0.0955146,0.188567
3.54405,1,0.095561,0.188655
3.54605,1,0.0956075,0.188743
3.54805,1,0.0956539,0.188832
3.55005,1,0.0957004,0.18892
3.55205,1,0.0957468,0.189008
3.55405,1,0.0957932,0.189096
3.55605,1,0.0958396,0.189184
3.55805,1,0.0958861,0.189272
3.56005,1,0.0959325,0.18936
3.56205,1,0.0959789,0.189448
3.56405,1,0.0960253,0.189536
3.56605,1,0.0960718,0.189624
3.56805,1,0.0961182,0.189712
3.57005,1,0.0961646,0.189801
3.57205,1,0.096211,0.189889
3.57405,1,0.0962574,0.189977
3.57606,1,0.0963038,0.190065
3.57806,1,0.0963502,0.190153
3.58006,1,0.0963966,0.190241
3.58206,1,0.096443,0.190329
3.58406,1,0.0964894,0.190417
3.58606,1,0.0965358,0.190505
3.58806,1,0.0965822,0.190593
3.59006,1,0.0966286,0.190681
3.59206,1,0.096675,0.190769
3.59406,1,0.0967213,0.190857
3.59606,1,0.0967677,0.190945
3.59806,1,0.0968141,0.191033
3.60006,1,0.0968605,0.191121
3.60206,1,0.0969068,0.191209
3.60406,1,0.0969532,0.191297
3.60606,1,0.0969996,0.191385
3.60806,1,0.097046,0.191473
3.61006,1,0.0970923,0.191561
3.61206,1,0.0971387,0.191649
3.61406,1,0.097185,0.191737
3.61606,1,0.0972314,0.191825
3.61806,1,0.0972778,0.191913
3.62006,1,0.0973241,0.192001
3.62206,1,0.0973705,0.192089
3.62406,1,0.0974168,0.192177
3.62606,1,0.0974631,0.192264
3.62806,1,0.0975095,0.192352
3.63006,1,0.0975558,0.19244
3.63206,1,0.0976022,0.192528
3.63406,1,0.0976485,0.192616
3.63606,1,0.0976948,0.192704
3.63806,1,0.0977412,0.192792
3.64006,1,0.0977875,0.19288
3.64206,1,0.0978338,0.192968
3.64406,1,0.0978801,0.193056
3.64606,1,0.0979265,0.193144
3.64806,1,0.0979728,0.193231
3.65006,1,0.0980191,0.193319
3.65206,1,0.0980654,0.193407
3.65406,1,0.0981117,0.193495
3.65606,1,0.098158,0.193583
3.65806,1,0.0982043,0.193671
3.66006,1,0.0982506,0.193759
3.66206,1,0.0982969,0.193847
3.66406,1,0.0983432,0.193934
3.66606,1,0.0983895,0.194022
3.66806,1,0.0984358,0.19411
3.67006,1,0.0984821,0.194198
3.67206,1,0.0985284,0.194286
3.67406,1,0.0985747,0.194374
3.67606,1,0.098621,0.194461
3.67806,1,0.0986673,0.194549
3.68006,1,0.0987136,0.194637
3.68206,1,0.0987598,0.194725
3.68406,1,0.0988061,0.194813
3.68606,1,0.0988524,0.1949
3.68806,1,0.0988987,0.194988
3.69006,1,0.0989449,0.195076
3.69206,1,0.0989912,0.195164
3.69406,1,0.0990375,0.195252
3.69606,1,0.0990837,0.195339
3.69806,1,0.09913,0.195427
3.70006,1,0.0991762,0.195515
3.70206,1,0.0992225,0.195603
3.70406,1,0.0992687,0.19569
3.70606,1,0.099315,0.195778
3.70806,1,0.0993612,0.195866
3.71006,1,0.0994075,0.195954
3.71206,1,0.0994537,0.196041
3.71406,1,0.0995,0.196129
3.71606,1,0.0995462,0.196217
3.71806,1,0.0995924,0.196305
3.72006,1,0.0996387,0.196392
3.72206,1,0.0996849,0.19648
3.72406,1,0.0997311,0.196568
3.72606,1,0.0997774,0.196656
3.72806,1,0.0998236,0.196743
3.73006,1,0.0998698,0.196831
3.73206,1,0.099916,0.196919
3.73406,1,0.0999622,0.197006
3.73606,1,0.100008,0.197094
3.73806,1,0.100055,0.197182
3.74006,1,0.100101,0.197269
3.74206,1,0.100147,0.197357
3.74406,1,0.100193,0.197445
3.74606,1,0.100239,0.197532
3.74806,1,0.100286,0.19762
3.75006,1,0.100332,0.197708
3.75206,1,0.100378,0.197795
3.75406,1,0.100424,0.197883
3.75606,1,0.10047,0.197971
3.75806,1,0.100517,0.198058
3.76006,1,0.100563,0.198146
3.76206,1,0.100609,0.198234
3.76406,1,0.100655,0.198321
3.76606,1,0.100701,0.198409
3.76806,1,0.100748,0.198496
3.77006,1,0.100794,0.198584
3.77206,1,0.10084,0.198672
3.77406,1,0.100886,0.198759
